Window,daves name,circadian,color,frame,occupant,treatment,objects,signage,notable,special
window-204,window-0640,awake,orange,double-hung,none,lace curtains,plants|flowers|bottle|jar,none,multiple shelves crowded with potted plants and bottles glow against a vivid orange interior wall.,no
window-205,window-0983,asleep,brown,paned grid,none,none,figurine|plants,none,shelves crammed with quirky yellow-faced ceramic figurines and trinkets fill the paned window.,no
window-206,window-0364,awake,orange,double-hung,none,none,none,none,a hanging teal shirt glows against warm amber and magenta interior light.,no
window-207,window-0106,awake,white,other,none,sheer curtains,sign|signage,personal training physical therapy podiatry aesthetics,a frosted decal of a running figure sits below a backlit gym-services sign.,no
window-208,window-0925,awake,blue,paned grid,none,none,none,none,a grid of frosted blue panes covered in scratched graffiti scrawls glows coldly against pure black.,yes
window-209,window-0419,awake,amber,double-hung,none,sheer curtains,lamp,none,a warm lamp glows softly behind gently parted sheer curtains in a double-hung window.,no
window-210,window-0092,awake,red,double-hung,none,roller shade,neon sign|signage,psychic readings,"a glowing red neon ""psychic readings"" sign fills the lower sash beneath a drawn shade.",no
window-211,window-0333,awake,white,double-hung,none,lace curtains,furniture,none,a drying rack stands silhouetted against softly glowing lace curtains in a double-hung window.,no
window-212,window-0838,awake,amber,paned grid,none,none,none,none,a glowing amber gridded window broken by a single red rectangle on the left.,no
window-213,window-0259,awake,amber,paned grid,none,sheer curtains,plants|figurine,none,"stacked amber-lit panes reveal silhouetted shapes behind sheer curtains, with a dark rectangular object in the lower frame.",no
window-214,window-0880,awake,amber,other,none,none,lamp|plants|framed art,none,a glowing amber stained-glass pendant lamp silhouettes a lush potted plant against a warm interior.,no
window-215,window-0596,awake,brown,double-hung,none,curtains,lamp|figurine,none,a dim amber-lit interior with a small face-like figurine peeking up at the lower right.,no
window-216,window-0190,awake,amber,double-hung,none,curtains,none,none,glowing amber curtains printed with repeating brown leafy vine motifs fill the dark window frame.,no
window-217,window-0846,awake,amber,double-hung,none,curtains,lamp|bottle,none,a glowing amber lamp casts warm light up through sheer curtains in a dark double-hung window.,no
window-218,window-0411,awake,amber,double-hung,none,none,plants|grow light,none,a warm amber upper pane contrasts with blue grow-light glow over potted plants below.,no
window-219,window-0854,awake,amber,paned grid,none,venetian blinds,books,none,stacks of books on warm-lit wooden shelves glow amber behind a paned window.,yes
window-220,window-0695,awake,blue,paned grid,none,security,string lights|plants,none,cascading curtain of blue string lights glows behind a barred paned window.,no
window-221,window-0736,awake,amber,double-hung,none,none,plants,none,silhouetted plants and reflective disco-ball ornaments glow against a warm amber interior.,no
window-222,window-0970,awake,amber,paned grid,none,venetian blinds,bottle|glassware,none,"warm amber light filters through venetian blinds behind a paned window, silhouetting bottles and a wine glass on the sill.",no
window-223,window-0033,awake,gray,double-hung,none,none,plants|grow light|signage,lenovo,a windowsill garden of potted plants tended under a small clip-on grow light in a dim interior.,no
window-224,window-0522,awake,blue,double-hung,none,none,air conditioner|sign|signage|spa,spa,a dim blue-lit window with an air conditioner below a glowing 'spa' sign and phone number.,no
window-225,window-0789,awake,orange,double-hung,none,none,lamp|air conditioner|poster|signage,made with love,"a glowing orange interior with a paper pendant lamp and a ""made with love"" sign above the ac unit.",no
window-226,window-0068,awake,orange,double-hung,none,roller shade,figurine,none,two tiny silhouetted figurines stand on the sill against a fiery amber glow.,no
window-227,window-0167,awake,orange,double-hung,none,curtains,plants,none,a silhouetted climbing plant stands against a warm amber curtain glow.,no
window-228,window-0841,awake,amber,paned grid,none,curtains,plants,none,golden patterned curtains glow warmly above a windowsill plant in the lower pane.,no
window-229,window-0306,asleep,black,other,ghoul,none,holiday decoration,none,"a hooded skeleton figure with bony hands clasped looms in shadow, a chilling halloween display.",no
window-230,window-0839,awake,black,double-hung,none,sheer curtains,none,none,a streak of vivid green light glows against an otherwise near-black double-hung window.,no
window-231,window-0577,awake,amber,double-hung,none,roller shade,lamp|plants|grow light,none,a warm amber hanging lamp glows above while blue grow lights illuminate potted plants on the lower sill.,no
window-232,window-0986,asleep,brown,casement,none,none,figurine,none,shelves crammed with rows of colorful collectible figurines and toys behind the glass.,no
window-233,window-0541,awake,amber,other,none,security,air conditioner|signage,friedrich,a friedrich air conditioner glows above an accordion security gate in warm amber light.,no
window-234,window-0031,awake,amber,double-hung,none,lace curtains,plants,none,"ornate lace curtains glow amber, their floral patterns silhouetted against warm interior light.",no
window-235,window-0598,awake,orange,double-hung,none,curtains,none,none,a glowing amber slit between parted curtains casts dramatic warm light over a silhouetted radiator.,no
window-236,window-0730,asleep,green,other,none,none,framed art,none,an ornate gilded oval frame set against dark green damask wallpaper behind a glass door.,no
window-237,window-0780,awake,white,other,none,none,poster|sign|signage|spa,vitality beauty center tel: 646-645-6356,a beauty center massage advertisement poster fills the window above a slatted vent.,no
window-238,window-0574,awake,amber,other,none,venetian blinds,none,none,warm amber light bleeds through bowed venetian blinds across stacked dark window panels.,no
window-239,window-0330,awake,purple,double-hung,none,stained glass,framed art,none,"a glowing stained-glass panel of a leafy plant fills the lower sash, framed by a vivid purple-lit window edge.",no
window-240,window-0345,asleep,black,double-hung,none,curtains,plants,none,"pale curtains draped unevenly across a dark double-hung window create a hushed, shadowed mood.",no
window-241,window-0544,awake,amber,double-hung,none,roller shade,none,none,a plain double-hung window covered by a softly glowing makeshift fabric shade.,no
window-242,window-0269,awake,amber,double-hung,none,curtains,air conditioner,none,glowing amber curtains drape over a window-mounted air conditioner unit.,no
window-243,window-0863,awake,amber,double-hung,none,curtains,bottle,none,patterned curtains part to reveal a warm amber interior with bottles lined along the sill.,no
window-244,window-0890,awake,amber,double-hung,none,none,books,none,a warm amber glow silhouettes books and shadowy objects behind a dark double-hung window.,no
window-245,window-0060,awake,blue,double-hung,none,roller shade,plants,none,a silhouetted plant reaches up against a dusky blue-purple glow behind a double-hung window.,no
window-246,window-0554,awake,green,other,none,none,holiday decoration,none,a hand-painted christmas tree with a gold star fills the glowing window.,no
window-247,window-0536,awake,amber,double-hung,none,none,lamp|vase,none,a dark decorative jar with painted figures sits glowing in an amber-lit interior.,no
window-248,window-0413,awake,black,double-hung,none,none,none,none,a solitary orange glow emerges from the dark lower pane of an otherwise pitch-black window.,no
window-249,window-0497,awake,amber,double-hung,none,none,plants,none,a window densely filled with silhouetted houseplants glowing against warm amber light.,yes
window-250,window-0283,awake,amber,double-hung,none,roller shade,none,none,three rounded bottle silhouettes line the sill against a glowing amber roller shade.,no
window-251,window-0858,awake,white,other,none,none,sign|signage,fire hose keep clear,a red fire hose cover hangs beside a standpipe behind a utilitarian window.,no
window-252,window-0638,awake,amber,double-hung,none,security,jar,none,a warm amber-lit window seen through a diamond-mesh security screen with silhouetted objects on shelves.,no
window-253,window-0630,awake,amber,paned grid,none,security|stained glass,plants|signage,none,warm amber glow behind security bars with colorful hanging stained-glass star and peace-sign ornaments.,no
window-254,window-0979,asleep,blue,double-hung,none,abandoned,none,none,a dark frosted pane with a single mysterious diamond shape silhouetted against faint blue light.,no
window-255,window-0487,awake,brown,double-hung,none,none,lamp,none,an ornate vintage floor lamp with a glowing amber tulip shade lights the dim room.,no
window-256,window-0762,awake,gold,other,none,security|curtains,none,none,an ornate wrought-iron security gate with decorative scrollwork covers a glowing golden-amber window.,no
window-257,window-0049,awake,white,double-hung,none,roller shade,plants,none,"a large leafy plant presses against the glass, glowing with a warm light at its base.",no
window-258,window-0282,awake,amber,double-hung,none,none,plants|grow light,none,an indoor plant collection thriving under a warm grow light fills the window.,no
window-259,window-0471,awake,orange,paned grid,none,none,plants,none,a glowing orange interior with a round paper lantern and silhouetted potted plants behind paned french doors.,no
window-260,window-0129,awake,amber,double-hung,none,frosted glass,plants,none,"ghostly silhouettes of plants press against fogged, amber-stained glass like a faded painting.",no
window-261,window-0781,asleep,green,paned grid,none,none,sign|signage,shaftway,"a dark, empty window marked with a white ""shaftway"" sign warning of the elevator shaft behind it.",no
window-262,window-0290,awake,amber,double-hung,none,sheer curtains,string lights,none,twinkling string lights glow softly behind a sheer curtain like a field of stars.,no
window-263,window-0274,awake,amber,double-hung,none,frosted glass,ceiling fixture|plants|flowers,none,"a glowing amber window with steamed, foggy glass silhouetting plants and a single red bloom.",no
window-264,window-0519,awake,amber,paned grid,none,none,air conditioner|plants,none,straw hats and a fishing net hang as silhouettes against a warm amber backlit grid window.,no
window-265,window-0361,awake,blue,double-hung,none,lace curtains,none,none,cool blue light filters through lace curtains behind a low metal window guard.,no
window-266,window-0107,awake,white,double-hung,none,sheer curtains,sign|signage|spa,sports medicine acupuncture chiropractic laser spa,a white silhouette of a running figure decal sits below a backlit medical spa sign.,no
window-267,window-0387,awake,amber,paned grid,none,none,figurine|sign|framed art|signage,devotion,silhouetted figurines and the word devotion glow against a deep amber interior.,no
window-268,window-0533,asleep,brown,double-hung,none,none,none,none,"glowing amber cloud-shaped cutouts float in a deep, shadowy window interior.",no
window-269,window-0275,awake,orange,double-hung,none,curtains,none,none,glowing amber curtains fill a dark double-hung frame with a warm fiery light.,no
window-270,window-0708,awake,amber,paned grid,none,none,neon sign|ceiling fixture|signage,spiritual,"a vertical green neon sign reading ""spiritual"" glows against a warm amber interior.",no
window-271,window-0719,asleep,brown,other,none,none,sign|signage,lobster enzme,a heavily graffiti-tagged tan door panel covered in scrawled black and red writing.,no
window-272,window-0403,awake,amber,double-hung,none,none,figurine|plants,none,a warm amber glow silhouettes a row of small figurines on a sill below a sparkling textured glass panel.,no
window-273,window-0964,awake,brown,other,none,none,none,none,a pale dress hangs alone on a hanger in a dim warm-lit window.,no
window-274,window-0469,awake,white,double-hung,cat,venetian blinds,figurine|sign|signage,中美,a glowing green chinese-character sign sits above a lucky cat and deity figurines behind venetian blinds.,no
window-275,window-0626,awake,amber,double-hung,none,roller shade,plants,none,a silhouetted hanging plant glows against a deep amber interior in a double-hung window.,no
window-276,window-0280,awake,amber,double-hung,none,sheer curtains,plants,none,a trailing hanging plant silhouetted against a warm amber-lit interior with sheer curtains.,no
window-277,window-0438,awake,amber,paned grid,none,roller shade,none,none,a glowing amber double-hung window with a paned upper sash and a half-drawn shade below.,no
window-278,window-0971,awake,amber,paned grid,none,none,vase|flowers|figurine|plants,none,a warm amber-lit windowsill holds a vase of tulips and small figurines silhouetted against a glowing interior.,no
window-279,window-0136,awake,brown,double-hung,none,security,none,none,a ghostly bright teal-blue glowing form hovers behind the upper sash like an apparition.,no
window-280,window-0293,awake,orange,double-hung,none,roller shade,plants,none,silhouetted potted plants against a glowing amber-orange window create a serene minimalist scene.,no
window-281,window-0384,awake,amber,double-hung,none,none,bottle,none,a warm amber double-hung window with shadowy bottles silhouetted on the lower sill.,no
window-282,window-0681,awake,orange,paned grid,none,curtains,air conditioner,none,glowing amber curtains create a warm abstract pattern across the paned window above an air conditioner.,no
window-283,window-0802,awake,green,paned grid,none,curtains,plants|flowers,none,an eerie green glow leaks through worn curtains framed by overgrown vines and tiny white blossoms.,no
window-284,window-0693,asleep,brown,double-hung,none,sheer curtains,air conditioner,none,a window-mounted air conditioner flanked by foam insulation panels beneath dim amber-lit sheer curtains.,no
window-285,window-0547,awake,brown,double-hung,none,curtains|security,none,none,a floral block-print curtain glows softly behind dark security bars on a double-hung window.,no
window-286,window-0287,awake,red,double-hung,none,none,lamp,none,a fringed bohemian pendant lamp glows against an intense red wall.,no
window-287,window-0540,awake,amber,double-hung,none,roller shade,none,none,a softly glowing amber window with a partially drawn shade and a single dangling cord.,no
window-288,window-0285,awake,orange,double-hung,none,curtains,plants|figurine,none,"glowing orange curtains backlit warmly, with small silhouetted figurines and plants lined along the sill.",no
window-289,window-0302,awake,amber,double-hung,ghoul,roller shade,plants|flag,none,cartoon ghost decals and a small rainbow pride flag float against a warm amber-lit brick interior.,no
window-290,window-0844,awake,brown,other,none,none,poster,none,a large backlit poster of a close-up smiling mouth fills the frame.,yes
window-291,window-0085,awake,green,double-hung,none,curtains,none,none,an eerie green glow seeps through a draped curtain in a darkened double-hung window.,no
window-292,window-0001,awake,amber,double-hung,none,none,ceiling fixture|air conditioner|framed art|figurine,none,a leaping rabbit figurine silhouetted on the sill beneath two glowing lamps.,no
window-293,window-0318,awake,black,double-hung,ghoul,roller shade,lamp,none,a small ghost figurine peeks out beneath a half-drawn shade in warm amber light.,no
window-294,window-0785,awake,blue,double-hung,none,roller shade,plants,none,silhouettes of leafy plants press against a softly glowing pale-blue shaded window.,no
window-295,window-0768,awake,amber,paned grid,none,none,plants,none,a warm interior glow silhouettes a tangle of plant foliage against grid-divided panes.,no
window-296,window-0477,awake,blue,paned grid,none,none,neon sign|signage,none,a small glowing neon sign casts blue and magenta light within an otherwise dark paned window.,no
window-297,window-0714,awake,gold,other,none,security,none,none,twin ornate lattice panels with central floral medallions glow warm gold against black.,no
window-298,window-0048,awake,brown,double-hung,none,lace curtains,plants,none,"a dim warm interior crowded with plants and a monstera, glimpsed through lace curtains.",no
window-299,window-0552,awake,amber,double-hung,none,none,books|ceiling fixture,none,a row of upright books lines the lower sill beneath a warmly lit interior with recessed ceiling lights.,no
window-300,window-0654,awake,amber,double-hung,none,roller shade,lamp|framed art|furniture,none,a vivid orange animal painting glows on the wall below a half-drawn shade.,no
window-301,window-0071,awake,purple,double-hung,none,sheer curtains,lamp,none,a purple glow bathes sheer curtains and a softly lit table lamp with a warm pocket of amber light below.,no
window-302,window-0262,awake,orange,double-hung,none,none,plants,none,a tall climbing vine on a trellis silhouetted against a soft peach-lit interior wall.,no
window-303,window-0826,awake,amber,other,none,roller shade,plants,none,a lone silhouetted plant stands against a glowing amber roller-shaded window.,no
window-304,window-0530,awake,amber,arched,none,none,plants,none,silhouetted climbing vines press against an amber-glowing arched paned window.,yes
window-305,window-0631,awake,gray,double-hung,none,none,lamp|plants|flowers|vase,none,"a silhouetted floral arrangement and lamp sit before a pale, fog-toned interior.",no
window-306,window-0560,awake,gray,double-hung,none,roller shade,plants,none,a leafy potted plant sits on the sill of a dim double-hung window with a half-drawn shade.,no
window-307,window-0252,asleep,gray,double-hung,none,roller shade,holiday decoration|signage,ho,"festive christmas decals including santa and a snowman line the lower pane of an otherwise dark, shaded window.",no
window-308,window-0127,awake,amber,paned grid,none,none,vase|ceiling fixture,none,a celadon-green ceramic vase displayed on a stand glows in a warm amber gallery-like interior.,no
window-309,window-0478,asleep,black,paned grid,none,none,sign|signage,惠生 fashion,a dark paned storefront window with green chinese characters and 'fashion' framed by red trim.,no
window-310,window-0015,asleep,brown,paned grid,none,security,none,none,a grid-paned industrial window behind protective wire mesh set in a brick wall.,no
window-311,window-0951,awake,amber,paned grid,none,none,plants|furniture,none,"a musician's room silhouetted behind glass, with drums, guitar and a fan glowing amber.",no
window-312,window-0420,awake,purple,double-hung,none,curtains,string lights,none,a purple-lit room glows behind sheer curtains with warm string lights strung across the top.,no
window-313,window-0119,awake,amber,double-hung,none,curtains,figurine,none,warm amber light glows through the gap between two dark draped curtains.,no
window-314,window-0281,awake,amber,double-hung,none,none,plants|air conditioner|signage,lg,silhouetted hanging plants glow against an amber interior above an lg air conditioner unit.,no
window-315,window-0263,awake,amber,other,none,security,none,none,a warm amber interior glows behind a dense row of vertical security bars.,no
window-316,window-0853,awake,blue,other,cat,none,neon sign|signage,none,a glowing pink neon cat silhouette glows in the corner of a deep blue window.,no
window-317,window-0265,awake,amber,other,none,none,poster|framed art|signage,kiss of death,a vintage sepia times square poster glowing with an eerie green wash at its base.,no
window-318,window-0225,awake,amber,double-hung,none,curtains,none,none,a glowing amber window framed by floral-patterned curtains casting a warm cozy radiance.,no
window-319,window-0947,awake,orange,paned grid,none,none,string lights|air conditioner,none,multicolored string lights drape across an amber-glowing paned window above an air conditioner.,no
window-320,window-0457,awake,white,double-hung,none,venetian blinds,plants|poster,none,potted plants and a hanging umbrella crowd the lower sill beneath blinds.,no
window-321,window-0763,asleep,white,double-hung,none,roller shade,poster|signage,democrat for mayor zohran for a new york you can afford,a bright orange-and-blue zohran mayoral campaign poster taped in the upper pane of an otherwise dark window.,no
window-322,window-0992,awake,amber,double-hung,none,sheer curtains,none,none,ribbed textured glass diffuses a fiery amber glow with a streak of red across the top.,no
window-323,window-0415,asleep,brown,double-hung,none,curtains,none,none,pale sheets of paper taped to the lower pane glow against an almost black interior.,no
window-324,window-0267,awake,amber,other,none,abandoned,none,none,"a window boarded over with a sheet of plywood, its wood grain glowing amber.",no
window-325,window-0895,awake,brown,double-hung,none,venetian blinds,framed art|books,none,a half-raised venetian blind reveals a warm-lit wall with a colorful landscape painting above books.,no
window-326,window-0166,awake,amber,double-hung,none,lace curtains,lamp|plants,none,a pleated table lamp glows warmly against lace curtains in an intimate double-hung window.,no
window-327,window-0749,awake,orange,double-hung,none,roller shade,poster|signage,double mink,a glowing eyelash-product poster fills the lower pane with close-up eyes and lashes.,no
window-328,window-0385,awake,orange,double-hung,none,none,plants,none,a bicycle and plant silhouetted against a warm amber interior glow.,no
window-329,window-0776,awake,amber,double-hung,none,none,plants,none,silhouetted plants crowd every shelf against a glowing amber interior.,no
window-330,window-0500,asleep,brown,other,none,abandoned,none,none,a bricked-up window covered in large white-and-black graffiti throw-up within an ornate frame.,yes
window-331,window-0627,awake,amber,double-hung,none,sheer curtains,none,none,warm amber light glows softly through sheer curtains parted at the center of a double-hung window.,no
window-332,window-0130,asleep,brown,paned grid,none,sheer curtains,plants,none,a dim multi-paned window framed by dried vines with potted plants lined up on an interior shelf.,no
window-333,window-0712,awake,red,other,none,none,neon sign|signage,none,a glowing red-orange neon dog wearing a bow tie fills the lower window.,no
window-334,window-0570,awake,amber,double-hung,none,frosted glass,plants,none,silhouetted bird ornaments hang against a glowing amber pane behind tangled bare branches.,no
window-335,window-0055,awake,amber,paned grid,none,frosted glass,none,none,a nine-pane upper sash over a single frosted lower pane glows softly amber in darkness.,no
window-336,window-0295,awake,blue,double-hung,none,none,poster|flag,none,a painted mural of a figure waving the italian flag fills the window glass.,no
window-337,window-0162,awake,amber,other,none,security,none,none,ornate wrought-iron scrollwork and a diamond-patterned security gate glow against warm amber interior light.,no
window-338,window-0755,asleep,amber,other,none,abandoned,none,none,a glowing amber plywood board fills the upper window over a dim cluttered lower pane with blinds.,no
window-339,window-0210,awake,red,other,none,none,neon sign|signage,ommegang,a glowing red ommegang neon sign with a rampant lion floats in an otherwise dark window.,no
window-340,window-0099,awake,black,double-hung,none,roller shade,plants,none,silhouetted potted plants line a sill against a glowing amber interior beneath a half-drawn shade.,no
window-341,window-0940,asleep,black,paned grid,ghoul,none,none,none,"a small white ghost figure peers from the lower pane of a dark, mostly unlit paned window.",no
window-342,window-0988,awake,amber,double-hung,none,sheer curtains,figurine,none,small ceramic figurines including a bird and mushrooms line the windowsill behind sheer curtains.,no
window-343,window-0483,awake,green,glass block,none,none,sign|signage,金門大廈,glowing glass-block facade with vertical chinese characters spelling a building name.,no
window-344,window-0232,awake,amber,double-hung,none,sheer curtains,lamp|figurine,none,a glowing amber interior with mushroom-shaped silhouettes lined along the sill.,no
window-345,window-0636,awake,amber,other,none,security,none,none,a warm amber-lit interior glimpsed through a dark diamond-mesh security screen.,no
window-346,window-0185,awake,orange,double-hung,none,curtains,plants|flowers,none,a glowing amber window with a half-drawn curtain silhouetting potted plants and dried flowers.,no
window-347,window-0406,awake,amber,double-hung,none,roller shade,plants,none,a small evergreen tree silhouetted against a warm amber-lit shade.,no
window-348,window-0407,awake,pink,double-hung,none,security,lamp|plants,none,a trailing plant climbs the security bars beneath a soft pink interior glow.,no
window-349,window-0786,awake,amber,double-hung,none,venetian blinds,plants,none,a warm amber upper sash with raised blinds sits above a lower pane filled with shadowy plant silhouettes.,no
window-350,window-0368,awake,amber,double-hung,none,sheer curtains,none,none,a warm amber glow radiates through sheer curtains in a classic double-hung window.,no
window-351,window-0296,awake,orange,double-hung,none,roller shade,air conditioner,none,a warm amber glow radiates behind a drawn shade with an air conditioner silhouetted in the lower sash.,no
window-352,window-0165,asleep,brown,double-hung,none,venetian blinds,sign|poster|signage,ice out of nyc,"a protest sign reading ""ice out of nyc"" sits below a warm orange glow filtered through half-raised blinds.",no
window-353,window-0657,awake,green,double-hung,none,sheer curtains,plants,none,sheer curtains glow with an eerie green light above a warm amber candle on the sill.,no
window-354,window-0597,asleep,brown,double-hung,none,abandoned,none,none,"the window is sealed from inside with crinkled plastic sheeting, suggesting a vacant or under-renovation unit.",no
window-355,window-0231,awake,black,double-hung,none,venetian blinds,plants|air conditioner,none,dewy lower pane reveals shadowy plants behind a partly raised venetian blind above a window air conditioner.,no
window-356,window-0817,awake,purple,other,none,roller shade,plants,none,a purple roller shade glows above a warm amber sill of silhouetted plants and a glass cloche.,no
window-357,window-0851,awake,orange,double-hung,none,sheer curtains|security,plants,none,warm amber curtains glow behind barred glass with silhouetted plants on the sill.,no
window-358,window-0192,awake,brown,double-hung,cat,roller shade,none,none,a dark double-hung window with glowing amber streaks through drawn shades and a decorative greek-key sill.,no
window-359,window-0932,awake,orange,other,none,roller shade,plants,none,a glowing amber-orange shade fills a dark weathered frame with a small plant silhouetted at the sill.,no
window-360,window-0206,awake,blue,double-hung,none,curtains,none,none,"a dim blue-curtained double-hung window with a metal child safety guard, barely lit in darkness.",no
window-361,window-0226,awake,amber,double-hung,cat,sheer curtains,string lights,none,a black-and-white cat peers out from behind sheer curtains beneath a warm amber glow strung with chili-pepper lights.,no
window-362,window-0366,awake,amber,double-hung,none,sheer curtains,books,none,stacked books and a row of empty clothes hangers glow amber behind a softly curtained window.,no
window-363,window-0350,awake,amber,paned grid,none,sheer curtains,plants|air conditioner,none,"a trailing hanging plant silhouetted against warm amber light, with an air conditioner unit below.",no
window-364,window-0539,awake,purple,double-hung,none,none,plants,none,silhouetted plants crowd the panes against a dusky purple glow with a warm amber light below.,no
window-365,window-0445,awake,brown,other,none,none,flowers|sign|plants|signage,325,white pussy willow branches climb the glass of a weathered pink door marked 325.,no
window-366,window-0618,awake,black,paned grid,none,none,holiday decoration,none,a glowing star-shaped lamp shines warmly in an otherwise dark paned window.,no
window-367,window-0901,awake,amber,paned grid,none,none,none,none,a small silhouetted figurine sits on the sill against a glowing amber light.,no
window-368,window-0111,awake,amber,paned grid,none,roller shade,string lights,none,"string lights trace the edges of every pane behind a drawn shade, glowing warm amber.",no
window-369,window-0745,awake,amber,double-hung,none,venetian blinds,lamp,none,a warm amber glow filters through venetian blinds on a classic double-hung window.,no
window-370,window-0215,awake,amber,paned grid,none,curtains,none,none,"a three-paned window glows with amber light filtered through draped, crumpled fabric casting soft shadows.",no
window-371,window-0738,awake,amber,double-hung,none,security,none,none,ornate wrought-iron security gate with heart-shaped scrollwork silhouetted against a warm amber glow.,no
window-372,window-0222,awake,amber,double-hung,silhouette,curtains|security,none,none,a person's silhouette sits framed behind security bars against a warm amber curtained glow.,no
window-373,window-0372,awake,amber,storefront,none,none,sign|poster|signage,blkf.nyc kung fu blkf,a martial-arts storefront glows amber behind red chinese lanterns and a tiger-emblazoned kung fu sign.,no
window-374,window-0479,awake,red,other,none,venetian blinds,plants|sign|signage,台 服,large red chinese characters dominate the window backlit against venetian blinds and tangled plants.,no
window-375,window-0289,awake,amber,double-hung,none,sheer curtains,none,none,"rumpled, draped fabric pressed against the glass glows amber, obscuring the interior.",no
window-376,window-0997,awake,pink,double-hung,cat,sheer curtains,none,none,a cat sits in silhouette against a soft pink interior glow framed by sheer curtains.,no
window-377,window-0800,awake,white,double-hung,none,none,plants,none,a leafy palm plant silhouetted against a soft pale glow fills the lower pane.,no
window-378,window-0927,awake,amber,paned grid,none,security,none,none,"a wire-mesh covered paned window glows amber behind dim, indistinct silhouetted shapes.",yes
window-379,window-0163,awake,amber,double-hung,none,venetian blinds,lamp,none,"a warm lamp glows through wooden venetian blinds, casting a silhouette in the upper pane.",no
window-380,window-0424,awake,amber,double-hung,none,sheer curtains,lamp,none,a glowing lamp behind sheer curtains casts a warm amber bloom across the double-hung panes.,no
window-381,window-0864,awake,amber,paned grid,none,sheer curtains,plants|ceiling fixture,none,a glowing bare bulb backlights a macrame hanging plant and silhouetted clutter through a sheer-curtained paned window.,no
window-382,window-0843,asleep,brown,double-hung,none,roller shade,none,none,a dark window with a lower shade bearing a glowing leaf-like pattern.,no
window-383,window-0984,asleep,brown,casement,none,none,figurine|flowers|string lights|plants,none,shelves crammed with rows of colorful bunny and animal figurines fill the window.,no
window-384,window-0874,awake,brown,paned grid,none,frosted glass,none,none,a dark double door of textured frosted glass glows faintly with pink and amber light from within.,no
window-385,window-0623,awake,amber,double-hung,none,sheer curtains,plants,none,a window densely packed with silhouetted potted and hanging plants glowing warm amber.,no
window-386,window-0832,awake,red,double-hung,none,sheer curtains,plants,none,"a glowing red light behind a shimmering beaded curtain creates a sultry, mysterious interior silhouette.",no
window-387,window-0795,asleep,brown,other,none,abandoned,sign|signage,elevator emergency call ba 7-6800,a bricked-up doorway with a faded vintage elevator emergency sign and a rusted metal fixture.,no
window-388,window-0490,awake,amber,double-hung,none,sheer curtains,plants|string lights|flowers,none,lush palm fronds and flowers backlit by warm string lights behind sheer curtains in a blue-framed window.,no
window-389,window-0709,awake,green,other,none,roller shade,neon sign|signage,chakra healing,"a glowing green neon sign reading ""chakra healing"" with a meditating figure depicting chakras.",yes
window-390,window-0954,awake,amber,other,none,roller shade,books,none,a glowing amber roller shade fills the frame above a row of book spines silhouetted along the sill.,no
window-391,window-0949,awake,red,double-hung,none,roller shade,ceiling fixture,none,"a glowing ceiling fixture bathes the entire window in an intense, eerie red.",no
window-392,window-0118,awake,gray,other,none,vertical blinds,none,none,"pale vertical blinds glow softly behind a dark frame, with a faint red sliver at the top.",no
window-393,window-0616,awake,amber,other,none,stained glass,religious item,none,a stained-glass window with a diamond lattice pattern and a central blue medallion depicting a chalice.,no
window-394,window-0928,awake,magenta,other,none,curtains,neon sign|signage,selformer pilates suite 211,a glowing magenta neon selformer pilates sign fills the entire window.,no
window-395,window-0911,awake,amber,double-hung,none,none,plants,none,lush leafy plants silhouetted against a glowing amber interior behind a peeling-film window.,no
window-396,window-0473,awake,orange,double-hung,none,venetian blinds,lamp,none,"a single warm lamp burns low behind half-drawn blinds, casting a fiery amber glow up the dark glass.",no
window-397,window-0945,awake,orange,paned grid,none,none,plants,none,silhouetted climbing vines drape across a paned window glowing intense orange.,no
window-398,window-0532,awake,amber,other,none,sheer curtains,ceiling fixture,none,a silhouetted suit-of-armor statue stands ominously against a glowing amber curtain.,no
window-399,window-0613,awake,brown,double-hung,none,roller shade,figurine,none,a row of small figurine silhouettes lines the sill beneath a dim warm glow.,no
window-400,window-0902,awake,black,double-hung,none,venetian blinds,plants,none,the upper pane glows with warm reddish light revealing leafy plant silhouettes behind venetian blinds.,no
window-401,window-0721,awake,orange,paned grid,none,none,poster,none,a dark-framed paned window filled entirely with a glowing sunflower field at sunset.,yes
window-402,window-0799,asleep,brown,other,none,abandoned,none,none,"the window has been completely sealed with brick, leaving a blind, vacant opening.",no
window-403,window-0773,awake,magenta,double-hung,none,none,open sign|neon sign|signage,open,"two stacked neon signs glow magenta: an ""open"" sign above a pair of neon footprints below.",no
window-404,window-0025,awake,purple,storefront,none,none,neon sign|sign|signage,buy women's,"a glowing purple ""buy"" neon sign hovers above a displayed jacket in a dark storefront.",no
window-405,window-0277,awake,amber,paned grid,none,sheer curtains,none,none,"a glowing amber window veiled by sheer curtains, divided into a dark paned grid.",no
window-406,window-0389,awake,amber,double-hung,none,roller shade,lamp|figurine,none,a glowing amber interior with a round pendant lamp hovering above a windowsill lined with silhouetted figurines.,no
window-407,window-0812,asleep,white,other,none,abandoned,framed art,none,"a frosted glass panel bears a painted floral design in red, pink, and yellow over stark black brushstrokes.",no
window-408,window-0770,awake,green,double-hung,none,venetian blinds,neon sign|signage,gym,"stacked neon signs of a beer mug, the word gym, and a cannabis leaf glow through a double-hung window.",yes
