window,id,circadian,color,frame,occupant,treatment,objects,signage,notable,special,master
window-0232,w-303,AWAKE,amber,double-hung,,sheer curtains,lamp|figurine,,A glowing amber interior with mushroom-shaped silhouettes lined along the sill.,,WINDOWSTACK2026_3_0075_windows-01315.png
window-0233,w-304,AWAKE,black,double-hung,,security,,,"A diamond-mesh security gate covers a darkened window, with only the lower pane faintly glowing amber behind it.",,WINDOWSTACK2026_3_0076_windows-01313.png
window-0234,w-305,AWAKE,black,other,,,open sign|neon sign|signage,YES! WE ARE OPEN,"A multicolored ""YES! WE ARE OPEN"" neon sign glows against a dark window.",,WINDOWSTACK2026_3_0077_windows-01308.png
window-0235,w-306,AWAKE,yellow,other,,,neon sign|poster|sign|signage,SPECTRAL SESSIONS JIRET,A glowing yellow neon script sign hovers above a dark poster behind glass.,,WINDOWSTACK2026_3_0078_windows-01306.png
window-0236,w-307,AWAKE,orange,double-hung,,venetian blinds|curtains,plants,,A warm amber glow filters through venetian blinds and orange curtains behind black security bars.,,WINDOWSTACK2026_3_0079_windows-01305.png
window-0237,w-308,AWAKE,amber,paned grid,,venetian blinds,air conditioner|plants,,Glowing amber blinds with shadowy plant silhouettes above a window air conditioner unit.,,WINDOWSTACK2026_3_0080_windows-01302.png
window-0238,w-309,AWAKE,black,double-hung,,venetian blinds|security,figurine,,"A glowing orange-red draped form sits behind barred glass beneath an ornate iron scroll, eerily figure-like.",,WINDOWSTACK2026_3_0081_windows-01299.png
window-0239,w-310,AWAKE,black,double-hung,,security,,,"A heavy diamond-mesh security screen covers the entire window, with warm amber light filtering through.",,WINDOWSTACK2026_3_0082_windows-01298.png
window-0240,w-313,AWAKE,black,glass block,,,,,"A grid of glass blocks glowing with green and amber light, with a small red form glimpsed at the bottom.",,WINDOWSTACK2026_3_0085_windows-01296.png
window-0241,w-314,AWAKE,amber,paned grid,,,,,A dark t-shirt hangs silhouetted against a glowing amber interior.,,WINDOWSTACK2026_3_0086_windows-01294.png
window-0242,w-315,AWAKE,white,paned grid,,,plants|fan,,A hanging pothos plant casts soft shadows above a circular fan against a warm pale wall.,,WINDOWSTACK2026_3_0087_windows-01293.png
window-0243,w-316,AWAKE,gray,double-hung,,,plants,,"A leafy plant silhouetted against a pale gray sky view, with a small red glow below.",,WINDOWSTACK2026_3_0088_windows-01265.png
window-0244,w-317,AWAKE,gray,double-hung,,roller shade|sheer curtains,plants,,A small potted evergreen tree silhouetted against a dim window with a half-drawn shade.,,WINDOWSTACK2026_3_0089_windows-01264.png
window-0245,w-318,AWAKE,white,paned grid,,frosted glass,furniture,,"Silhouetted objects and decorative lettering sit against frosted, glowing windowpanes.",,WINDOWSTACK2026_3_0090_windows-01255.png
window-0246,w-320,AWAKE,brown,paned grid,,,plants,,A backlit palm plant silhouetted behind a dark multi-paned double-hung window.,,WINDOWSTACK2026_3_0092_windows-01254-2.png
window-0247,w-321,AWAKE,amber,paned grid,,curtains,,,A warmly glowing paned window draped in floral curtains casting an amber golden hue.,,WINDOWSTACK2026_3_0093_windows-01253.png
window-0248,w-323,AWAKE,gray,double-hung,,curtains,plants,,A snake plant sits below a strand of pastel prayer flags hung across the upper pane.,,WINDOWSTACK2026_3_0095_windows-01250.png
window-0249,w-324,AWAKE,white,double-hung,,,,,Strings of colorful Tibetan prayer flags hang across the upper pane of the window.,,WINDOWSTACK2026_3_0096_windows-01250-2.png
window-0250,w-325,AWAKE,white,double-hung,,frosted glass,string lights|holiday decoration|signage,BE MINE,"Valentine's heart decals and glowing string lights spell out ""BE MINE"" on a frosted lower pane.",,WINDOWSTACK2026_3_0097_windows-01219.png
window-0251,w-326,AWAKE,black,double-hung,,roller shade,holiday decoration|string lights|signage,LOVE,A glowing red light-up heart decoration is the lone bright spot in an otherwise dark double-hung window.,,WINDOWSTACK2026_3_0098_windows-01218-3.png
window-0252,w-327,ASLEEP,gray,double-hung,,roller shade,holiday decoration|signage,HO,"Festive Christmas decals including Santa and a snowman line the lower pane of an otherwise dark, shaded window.",,WINDOWSTACK2026_3_0099_windows-01218-2.png
window-0253,w-328,AWAKE,amber,paned grid,dog,roller shade,,,A dog peers out from the bottom corner of an amber-glowing shaded window.,,WINDOWSTACK2026_3_0100_windows-01215.png
window-0254,w-330,AWAKE,orange,double-hung,,roller shade,flowers|plants,,A shadowy plant silhouette presses against the warm amber shade of the lower pane.,,WINDOWSTACK2026_3_0102_windows-01195.png
window-0255,w-331,AWAKE,brown,arched,,,,,An arched dark frame reveals a warmly lit interior cluttered with indistinct objects and flashes of red and green.,,WINDOWSTACK2026_3_0103_windows-01189.png
window-0256,w-332,AWAKE,black,other,,,plants|furniture,,Tall potted plants silhouetted on a dark console beneath a warmly lit ceiling.,,WINDOWSTACK2026_3_0104_windows-01188.png
window-0257,w-333,AWAKE,amber,double-hung,,,lamp,,A glowing Tiffany-style lamp casts a warm amber bloom across an otherwise dark room.,,WINDOWSTACK2026_3_0105_windows-01187.png
window-0258,w-334,AWAKE,blue,double-hung,,venetian blinds,,,Cool bluish venetian blinds glow behind a dark double-hung frame with shadowy objects at the sill.,,WINDOWSTACK2026_3_0106_windows-01187-2.png
window-0259,w-335,AWAKE,amber,paned grid,,sheer curtains,plants|figurine,,"Stacked amber-lit panes reveal silhouetted shapes behind sheer curtains, with a dark rectangular object in the lower frame.",,WINDOWSTACK2026_3_0107_windows-01179.png
window-0260,w-337,AWAKE,orange,double-hung,,roller shade,plants|flowers,,A shadowy plant silhouette presses against a warm amber-glowing shaded window.,,WINDOWSTACK2026_3_0109_windows-01177.png
window-0261,w-338,AWAKE,amber,double-hung,,sheer curtains,,,A softly glowing amber window veiled by sheer curtains with warm reflections on the glass.,,WINDOWSTACK2026_3_0110_windows-01177-3.png
window-0262,w-339,AWAKE,orange,double-hung,,,plants,,A tall climbing vine on a trellis silhouetted against a soft peach-lit interior wall.,,WINDOWSTACK2026_3_0111_windows-01177-2.png
window-0263,w-340,AWAKE,amber,other,,security,,,A warm amber interior glows behind a dense row of vertical security bars.,,WINDOWSTACK2026_3_0112_windows-01165.png
window-0264,w-341,AWAKE,blue,other,,,poster|flowers|signage|spa,,A backlit spa advertisement showing a couple receiving a massage fills the entire window.,,WINDOWSTACK2026_3_0113_windows-01154.png
window-0265,w-342,AWAKE,amber,other,,,poster|framed art|signage,KISS OF DEATH,A vintage sepia Times Square poster glowing with an eerie green wash at its base.,,WINDOWSTACK2026_4_0000_windows-02356.png
window-0266,w-343,AWAKE,amber,paned grid,,curtains,plants,,A warm amber-curtained paned window glows softly with a backlit lamp at its center.,,WINDOWSTACK2026_4_0001_windows-02355.png
window-0267,w-344,AWAKE,amber,other,,abandoned,,,"A window boarded over with a sheet of plywood, its wood grain glowing amber.",,WINDOWSTACK2026_4_0002_windows-02354.png
window-0268,w-346,AWAKE,amber,paned grid,,frosted glass,air conditioner|signage,FRIGIDAIRE,Textured amber frosted glass glows above a Frigidaire window air conditioner.,,WINDOWSTACK2026_4_0004_windows-02352.png
window-0269,w-347,AWAKE,amber,double-hung,,curtains,air conditioner,,Glowing amber curtains drape over a window-mounted air conditioner unit.,,WINDOWSTACK2026_4_0005_windows-02351.png
window-0270,w-348,AWAKE,pink,double-hung,,sheer curtains,,,"Sheer curtains glow from hot pink to orange, with cat silhouettes peering out from the lower pane.",,WINDOWSTACK2026_4_0006_windows-02350.png
window-0271,w-349,AWAKE,brown,double-hung,,curtains,,,A draped curtain gathered into a knotted point dominates the dim double-hung window.,,WINDOWSTACK2026_4_0007_windows-02348.png
window-0272,w-350,AWAKE,amber,double-hung,ghoul,pleated shade,holiday decoration,,Playful black monster and bat cutouts decorate the frosted glass for Halloween.,,WINDOWSTACK2026_4_0008_windows-02347.png
window-0273,w-351,AWAKE,amber,double-hung,ghoul,pleated shade,holiday decoration|signage,boo!,Halloween window decals of monsters and bats silhouetted against a warm pleated shade.,,WINDOWSTACK2026_4_0009_windows-02346.png
window-0274,w-352,AWAKE,amber,double-hung,,frosted glass,ceiling fixture|plants|flowers,,"A glowing amber window with steamed, foggy glass silhouetting plants and a single red bloom.",,WINDOWSTACK2026_4_0010_windows-02344.png
window-0275,w-353,AWAKE,orange,double-hung,,curtains,,,Glowing amber curtains fill a dark double-hung frame with a warm fiery light.,,WINDOWSTACK2026_4_0011_windows-02343.png
window-0276,w-354,AWAKE,amber,double-hung,,curtains,plants,,"A glowing amber curtain fills a dark double-hung frame, with a small plant peeking up at the lower left.",,WINDOWSTACK2026_4_0012_windows-02342.png
window-0277,w-355,AWAKE,amber,paned grid,,sheer curtains,,,"A glowing amber window veiled by sheer curtains, divided into a dark paned grid.",,WINDOWSTACK2026_4_0013_windows-02341.png
window-0278,w-356,AWAKE,amber,double-hung,,curtains,lamp,,A warm amber glow silhouettes a table lamp and gathered curtain behind the double-hung glass.,,WINDOWSTACK2026_4_0014_windows-02339.png
window-0279,w-358,AWAKE,amber,double-hung,,,glassware,,"A deep amber glow fills the lower panes while the top half stays in shadow, with glassware silhouetted against the light.",,WINDOWSTACK2026_4_0016_windows-02336.png
window-0280,w-359,AWAKE,amber,double-hung,,sheer curtains,plants,,A trailing hanging plant silhouetted against a warm amber-lit interior with sheer curtains.,,WINDOWSTACK2026_4_0017_windows-02322.png
window-0281,w-360,AWAKE,amber,double-hung,,,plants|air conditioner|signage,LG,Silhouetted hanging plants glow against an amber interior above an LG air conditioner unit.,,WINDOWSTACK2026_4_0018_windows-02321.png
window-0282,w-362,AWAKE,amber,double-hung,,,plants|grow light,,An indoor plant collection thriving under a warm grow light fills the window.,,WINDOWSTACK2026_4_0020_windows-02314.png
window-0283,w-363,AWAKE,amber,double-hung,,roller shade,,,Three rounded bottle silhouettes line the sill against a glowing amber roller shade.,,WINDOWSTACK2026_4_0021_windows-02312.png
window-0284,w-364,AWAKE,amber,double-hung,,roller shade,,,A glowing amber roller shade decorated with a dark leaf silhouette pattern fills the lower sash.,,WINDOWSTACK2026_4_0022_windows-02311.png
window-0285,w-365,AWAKE,orange,double-hung,,curtains,plants|figurine,,"Glowing orange curtains backlit warmly, with small silhouetted figurines and plants lined along the sill.",,WINDOWSTACK2026_4_0023_windows-02310.png
window-0286,w-366,AWAKE,amber,double-hung,,roller shade,plants,,A silhouetted potted plant sits on a sill against a glowing amber-orange shade.,,WINDOWSTACK2026_4_0024_windows-02309.png
window-0287,w-367,AWAKE,red,double-hung,,,lamp,,A fringed bohemian pendant lamp glows against an intense red wall.,,WINDOWSTACK2026_4_0025_windows-02308.png
window-0288,w-368,AWAKE,orange,double-hung,,curtains,,,"An intense red-orange glow saturates the entire window, with a curtain and faint furniture silhouettes barely visible.",,WINDOWSTACK2026_4_0026_windows-02307.png
window-0289,w-370,AWAKE,amber,double-hung,,sheer curtains,,,"Rumpled, draped fabric pressed against the glass glows amber, obscuring the interior.",,WINDOWSTACK2026_4_0028_windows-02305.png
window-0290,w-371,AWAKE,amber,double-hung,,sheer curtains,string lights,,Twinkling string lights glow softly behind a sheer curtain like a field of stars.,,WINDOWSTACK2026_4_0029_windows-02304.png
window-0291,w-373,AWAKE,red,double-hung,,curtains,,,A fiery red-to-yellow gradient glows behind drawn curtains in a dark double-hung frame.,,WINDOWSTACK2026_4_0031_windows-02296.png
window-0292,w-374,AWAKE,amber,double-hung,,roller shade,plants,,Silhouetted potted plants including a tall cactus against a glowing amber shade.,,WINDOWSTACK2026_4_0032_windows-02295.png
window-0293,w-375,AWAKE,orange,double-hung,,roller shade,plants,,Silhouetted potted plants against a glowing amber-orange window create a serene minimalist scene.,,WINDOWSTACK2026_4_0033_windows-02295-2.png
window-0294,w-376,AWAKE,amber,glass block,,,,,A glass block window glowing amber at the top and fading to darkness below.,,WINDOWSTACK2026_4_0034_windows-02291.png
window-0295,w-377,AWAKE,blue,double-hung,,,poster|flag,,A painted mural of a figure waving the Italian flag fills the window glass.,,WINDOWSTACK2026_4_0035_windows-02289.png
window-0296,w-378,AWAKE,orange,double-hung,,roller shade,air conditioner,,A warm amber glow radiates behind a drawn shade with an air conditioner silhouetted in the lower sash.,,WINDOWSTACK2026_4_0036_windows-02288.png
window-0297,w-381,AWAKE,amber,casement,,,lamp|fan|ceiling fixture,,A warmly lit interior with a ceiling fan and rows of glowing pendant lights behind tall casement panes.,,WINDOWSTACK2026_4_0039_windows-02212.png
window-0298,w-382,AWAKE,amber,paned grid,,vertical blinds,plants,,Dense silhouetted vines climb across a warm amber-lit paned window.,,WINDOWSTACK2026_4_0040_windows-02209.png
window-0299,w-383,AWAKE,amber,double-hung,,,plants,,A silhouetted rubber plant rises against a glowing amber interior.,,WINDOWSTACK2026_4_0041_windows-02208.png
window-0300,w-385,AWAKE,amber,double-hung,,roller shade,figurine,,A row of little cat figurines lined up on the sill against a warm amber glow.,,WINDOWSTACK2026_4_0043_windows-02206.png
window-0301,w-386,AWAKE,amber,double-hung,,pleated shade,air conditioner,,A warm amber glow filters through pleated shades above a window-mounted air conditioner.,,WINDOWSTACK2026_4_0044_windows-02204.png
window-0302,w-387,AWAKE,amber,double-hung,ghoul,roller shade,plants|flag,,Cartoon ghost decals and a small rainbow pride flag float against a warm amber-lit brick interior.,,WINDOWSTACK2026_4_0045_windows-02203.png
window-0303,w-389,AWAKE,orange,double-hung,,roller shade,,,A glowing amber-orange shade with small dark decals including a heart shape on the lower pane.,,WINDOWSTACK2026_4_0047_windows-02201.png
window-0304,w-391,AWAKE,amber,double-hung,,pleated shade,,,"A diagonal shadow slices across the warm glowing pleated shade, suggesting an unseen presence.",,WINDOWSTACK2026_4_0049_windows-02197.png
window-0305,w-392,AWAKE,amber,paned grid,,,plants,,Large plant leaves silhouetted dramatically against a glowing amber interior.,,WINDOWSTACK2026_4_0050_windows-02195.png
window-0306,w-393,ASLEEP,black,other,ghoul,,holiday decoration,,"A hooded skeleton figure with bony hands clasped looms in shadow, a chilling Halloween display.",,WINDOWSTACK2026_4_0051_windows-02194.png
window-0307,w-394,AWAKE,amber,double-hung,ghoul,venetian blinds,string lights,,"A cloaked skeleton figure stands before warm blinds beneath glowing orange autumn branches, a striking Halloween display.",,WINDOWSTACK2026_4_0052_windows-02191.png
window-0308,w-395,AWAKE,amber,double-hung,,pleated shade,,,A warm pleated shade glows amber above a sliver of colorful interior peeking beneath.,,WINDOWSTACK2026_4_0053_windows-02187.png
window-0309,w-397,AWAKE,amber,double-hung,,,plants|vase|flowers,,Dramatic silhouettes of a spiky dracaena plant against a glowing amber interior.,,WINDOWSTACK2026_4_0055_windows-02185.png
window-0310,w-399,AWAKE,brown,double-hung,,roller shade,lamp|plants,,A glowing paper lantern lamp sits beside a potted plant in a dim warm interior.,,WINDOWSTACK2026_4_0057_windows-02183.png
window-0311,w-400,AWAKE,brown,double-hung,,sheer curtains,plants,,A silhouetted hanging plant glows against warm sheer curtains in a darkened double-hung window.,,WINDOWSTACK2026_4_0058_windows-02182.png
window-0312,w-401,AWAKE,amber,double-hung,,pleated shade,,,Amber pleated shades glow with mysterious dark shadow shapes pressing against the glass.,,WINDOWSTACK2026_4_0059_windows-02180.png
window-0313,w-402,AWAKE,amber,double-hung,,curtains,sign|poster|signage,ZOHRAN for NEW YORK CITY,"A blue campaign poster reading ""ZOHRAN for NEW YORK CITY"" hangs in an amber-glowing double-hung window.",,WINDOWSTACK2026_4_0060_windows-02179.png
window-0314,w-403,AWAKE,amber,double-hung,,roller shade,plants,,A silhouetted potted plant sits behind the lower pane while a drawn shade glows amber above.,,WINDOWSTACK2026_4_0061_windows-02178.png
window-0315,w-404,AWAKE,amber,double-hung,,venetian blinds,,,"Glowing amber light pours through venetian blinds, silhouetting objects on a sill below.",,WINDOWSTACK2026_4_0062_windows-02177.png
window-0316,w-405,AWAKE,amber,double-hung,,venetian blinds,,,Warm amber light glows through venetian blinds in a softly lit double-hung window.,,WINDOWSTACK2026_4_0063_windows-02176.png
window-0317,w-406,AWAKE,amber,double-hung,,,lamp|plants,,An adjustable desk lamp arcs over silhouetted potted plants in a deep amber glow.,,WINDOWSTACK2026_4_0064_windows-02175.png
window-0318,w-407,AWAKE,black,double-hung,ghoul,roller shade,lamp,,A small ghost figurine peeks out beneath a half-drawn shade in warm amber light.,,WINDOWSTACK2026_4_0065_windows-02174.png
window-0319,w-408,AWAKE,amber,double-hung,ghoul,,lamp,,Silhouetted ghost cutouts and a lamp glow against an amber Halloween-lit window.,,WINDOWSTACK2026_4_0066_windows-02172.png
window-0320,w-411,AWAKE,orange,double-hung,,curtains,lamp|plants,,Tree branches silhouette against a warm amber curtained window glowing from within.,,WINDOWSTACK2026_4_0069_windows-02168-2.png
window-0321,w-412,AWAKE,amber,double-hung,,,,,A glowing amber-orange double-hung window with a silhouetted shade and minimal sill objects.,,WINDOWSTACK2026_4_0070_windows-02167.png
window-0322,w-413,AWAKE,amber,paned grid,,sheer curtains,lamp,,A glowing amber window with an ornate birdcage visible in the lit bottom pane below frosted shades.,,WINDOWSTACK2026_4_0071_windows-02165.png
window-0323,w-414,AWAKE,orange,double-hung,,sheer curtains,,,An intense fiery orange glow radiates through sheer curtains in a dark double-hung window.,,WINDOWSTACK2026_4_0072_windows-01955.png
window-0324,w-415,AWAKE,yellow,double-hung,,,,,A green desk globe sits on the sill against an empty warm-lit interior.,,WINDOWSTACK2026_4_0073_windows-01954.png
window-0325,w-416,AWAKE,amber,double-hung,,,framed art,,A warm amber window framing a colorful floral plate above a pale heart-shaped decoration.,,WINDOWSTACK2026_4_0074_windows-01952.png
window-0326,w-417,AWAKE,amber,double-hung,,,lamp,,"A single classic table lamp glows warmly in the lower pane, bathing the room in amber.",,WINDOWSTACK2026_4_0075_windows-01951.png
window-0327,w-418,AWAKE,brown,other,,roller shade,,,A violin silhouetted against a softly lit wall behind a partially drawn shade.,,WINDOWSTACK2026_4_0076_windows-01890.png
window-0328,w-419,AWAKE,gray,double-hung,,roller shade,,,A lone silver trophy sits on the sill behind a softly lit double-hung window.,,WINDOWSTACK2026_4_0077_windows-01708.png
window-0329,w-420,AWAKE,brown,double-hung,,sheer curtains,plants,,"Spiky dracaena silhouettes press against sheer curtains in a dim, muted interior.",,WINDOWSTACK2026_4_0078_windows-01613.png
window-0330,w-421,AWAKE,purple,double-hung,,stained glass,framed art,,"A glowing stained-glass panel of a leafy plant fills the lower sash, framed by a vivid purple-lit window edge.",,WINDOWSTACK2026_4_0079_windows-01610.png
window-0331,w-423,AWAKE,black,double-hung,,,,,Twin dark glass panes densely covered in scratched and scrawled graffiti tags.,,WINDOWSTACK2026_4_0081_windows-01608.png
window-0332,w-424,AWAKE,amber,double-hung,,stained glass,framed art,,A stained-glass panel depicting a flowering tree glows warmly in the lower sash.,,WINDOWSTACK2026_4_0082_windows-01605.png
window-0333,w-426,AWAKE,white,double-hung,,lace curtains,furniture,,A drying rack stands silhouetted against softly glowing lace curtains in a double-hung window.,,WINDOWSTACK2026_4_0084_windows-01603.png
window-0334,w-427,AWAKE,amber,double-hung,,pleated shade,,,A warm amber pleated shade fills the upper sash while the lower pane glows with soft interior shadows.,,WINDOWSTACK2026_4_0085_windows-01602.png
window-0335,w-428,ASLEEP,brown,other,,,sign|signage,BOX OFFICE OPENS 60 MINUTES BEFORE,A dark wooden letterboard sign announces box office hours behind glass.,,WINDOWSTACK2026_4_0086_windows-01601.png
window-0336,w-430,AWAKE,amber,double-hung,,stained glass,lamp,,Colorful stained-glass suncatchers including a rainbow glow against an amber-lit interior.,,WINDOWSTACK2026_4_0088_windows-01596.png
window-0337,w-431,AWAKE,amber,double-hung,,,lamp|flowers|bottle|plants,,A warm amber-lit interior with flowers and a glowing lamp framed by a dark double-hung window.,,WINDOWSTACK2026_4_0089_windows-01595.png
window-0338,w-432,AWAKE,orange,double-hung,,roller shade,plants,,Silhouetted potted plants and a hanging planter glow against a deep amber-orange interior.,,WINDOWSTACK2026_4_0090_windows-01594.png
window-0339,w-433,AWAKE,amber,double-hung,,,air conditioner|flag,,An American flag hangs above a window air conditioner in a warm amber-lit room.,,WINDOWSTACK2026_4_0091_windows-01593.png
window-0340,w-434,AWAKE,brown,double-hung,,sheer curtains,plants,,A small potted plant silhouetted on the sill against soft sheer curtains.,,WINDOWSTACK2026_4_0092_windows-01584.png
window-0341,w-436,AWAKE,amber,other,,roller shade,,,"A glowing amber shade fills the frame, with faint silhouettes barely visible at the bottom.",,WINDOWSTACK2026_4_0094_windows-01581.png
window-0342,w-437,AWAKE,black,paned grid,,,,,A mostly dark arched paned door with a warm amber glow seeping through the lower panes.,,WINDOWSTACK2026_4_0095_windows-01578.png
window-0343,w-439,ASLEEP,brown,other,,abandoned,,,"A window opening completely sealed with brick masonry, dimly lit in muddy gold tones.",,WINDOWSTACK2026_4_0097_windows-01575.png
window-0344,w-440,AWAKE,amber,double-hung,,,plants|vase,,Lush tropical foliage glows against a warm amber interior in a tall double-hung window.,,WINDOWSTACK2026_4_0098_windows-01574.png
window-0345,w-441,ASLEEP,black,double-hung,,curtains,plants,,"Pale curtains draped unevenly across a dark double-hung window create a hushed, shadowed mood.",,WINDOWSTACK2026_4_0099_windows-01573.png
window-0346,w-442,AWAKE,amber,double-hung,,frosted glass,bottle,,"A frosted, foggy double-hung window glowing amber with soft silhouettes of bottles and clutter behind it.",,WINDOWSTACK2026_4_0100_windows-01572.png
window-0347,w-443,AWAKE,amber,double-hung,,curtains,lamp|plants,,A glowing amber window with silhouetted plants and a security gate behind sheer curtains.,,WINDOWSTACK2026_4_0101_windows-01570.png
window-0348,w-444,ASLEEP,brown,other,,security,,,A rusted metal mesh security gate covers a dark recessed doorway with deep red surrounding walls.,,WINDOWSTACK2026_4_0102_windows-01568.png
window-0349,w-445,ASLEEP,brown,paned grid,,abandoned,,,"A boarded-up window with weathered, paint-streaked wood planks behind a paned grid frame.",,WINDOWSTACK2026_4_0103_windows-01567.png
window-0350,w-447,AWAKE,amber,paned grid,,sheer curtains,plants|air conditioner,,"A trailing hanging plant silhouetted against warm amber light, with an air conditioner unit below.",,WINDOWSTACK2026_4_0105_windows-01563.png
window-0351,w-449,AWAKE,amber,glass block,,,,,"A grid of glowing glass blocks set in deep black, radiating warm amber light.",,WINDOWSTACK2026_4_0107_windows-01558.png
window-0352,w-450,AWAKE,orange,double-hung,,security,,,A fiery orange glow behind vertical security bars makes the window read like a glowing furnace.,,WINDOWSTACK2026_4_0108_windows-01557.png
window-0353,w-451,AWAKE,orange,double-hung,,security,,,A warm amber glow seeps through security bars over the upper sash of a dark double-hung window.,,WINDOWSTACK2026_4_0109_windows-01557-2.png
window-0354,w-452,AWAKE,amber,double-hung,,lace curtains,,,Glowing amber curtains with floral lace patterns silhouetted behind a security railing.,,WINDOWSTACK2026_4_0110_windows-01556.png
window-0355,w-455,ASLEEP,white,double-hung,,roller shade|security,flag,,A Dominican Republic flag hangs against the pale glow of a barred lower window.,,WINDOWSTACK2026_4_0113_windows-01554.png
window-0356,w-456,AWAKE,orange,paned grid,,,lamp|plants,,"A glowing dome table lamp casts deep amber-orange light through a tall divided window, with a small red light point below.",,WINDOWSTACK2026_5_0000_windows-02809.png
window-0357,w-457,AWAKE,amber,paned grid,,,lamp|plants|books,,"A warm amber interior glows behind a dark gridded window, silhouetting a hanging plant and lamp.",,WINDOWSTACK2026_5_0001_windows-02809-2.png
window-0358,w-458,AWAKE,red,double-hung,,curtains,air conditioner,,A weathered green double-hung window with deep red curtains and an aging air conditioner unit.,,WINDOWSTACK2026_5_0002_windows-02802.png
window-0359,w-459,ASLEEP,brown,double-hung,,venetian blinds,air conditioner,,"A cluttered, dimly lit window crowded with boxes, papers, and an air conditioner behind partially raised blinds.",,WINDOWSTACK2026_5_0003_windows-02801.png
window-0360,w-460,AWAKE,amber,other,,roller shade,air conditioner,,A glowing amber board covers the upper window above a dark air conditioner unit.,,WINDOWSTACK2026_5_0004_windows-02801-2.png
window-0361,w-461,AWAKE,blue,double-hung,,lace curtains,,,Cool blue light filters through lace curtains behind a low metal window guard.,,WINDOWSTACK2026_5_0005_windows-02799.png
window-0362,w-462,AWAKE,brown,paned grid,,,,,A dim multi-paned window framing murky shapes and a glowing yellow box.,,WINDOWSTACK2026_5_0006_windows-02799-2.png
window-0363,w-463,AWAKE,gray,double-hung,,roller shade,bottle|jar,,A row of silhouetted bottles and jars lined up on the sill against a pale glowing shade.,,WINDOWSTACK2026_5_0007_windows-02797.png
window-0364,w-464,AWAKE,orange,double-hung,,,,,A hanging teal shirt glows against warm amber and magenta interior light.,,WINDOWSTACK2026_5_0008_windows-02796.png
window-0365,w-465,AWAKE,yellow,other,,security,sign|signage|spa,NO TRESPASSING MONITORED BY VIDEO CAMERA,A yellow video-surveillance warning sign glows behind glass marred by graffiti.,yes,WINDOWSTACK2026_5_0009_windows-02788.png
window-0366,w-466,AWAKE,amber,double-hung,,sheer curtains,books,,Stacked books and a row of empty clothes hangers glow amber behind a softly curtained window.,,WINDOWSTACK2026_5_0010_windows-02782.png
window-0367,w-469,AWAKE,black,double-hung,,,,,A nearly black window broken only by a small patch of purple glow near the sill.,,WINDOWSTACK2026_5_0013_windows-02774.png
window-0368,w-472,AWAKE,amber,double-hung,,sheer curtains,,,A warm amber glow radiates through sheer curtains in a classic double-hung window.,,WINDOWSTACK2026_5_0016_windows-02771.png
window-0369,w-474,ASLEEP,black,storefront,,security,poster|sign|signage,WHO IS SHE?,A dark security gate covered in graffiti tags and a dense collage of stickers and posters.,,WINDOWSTACK2026_5_0018_windows-02752.png
window-0370,w-476,AWAKE,amber,other,,security|curtains,,,An ornate wrought-iron security gate frames a warm amber-curtained window glowing in darkness.,,WINDOWSTACK2026_5_0020_windows-02738.png
window-0371,w-477,AWAKE,amber,double-hung,,roller shade,ceiling fixture,,A glowing bare bulb behind a worn shade above a draped cloth spilling over a metal railing.,,WINDOWSTACK2026_5_0021_windows-02731.png
window-0372,w-478,AWAKE,amber,storefront,,,sign|poster|signage,blkf.nyc KUNG FU BLKF,A martial-arts storefront glows amber behind red Chinese lanterns and a tiger-emblazoned KUNG FU sign.,,WINDOWSTACK2026_5_0022_windows-02727.png
window-0373,w-479,AWAKE,gold,storefront,,,sign|poster|framed art|signage,KIDS KUNG FU,A martial arts studio window with bold KUNG FU lettering and a heavy punching bag silhouetted in golden light.,,WINDOWSTACK2026_5_0023_windows-02725.png
window-0374,w-480,AWAKE,orange,other,,,lamp|plants|poster,,A glowing amber window with a red snake-and-dagger graphic looming over silhouetted plants.,,WINDOWSTACK2026_5_0024_windows-02724.png
window-0375,w-482,AWAKE,magenta,other,,,lamp|plants|furniture,,A glowing white paper lantern hangs in a room bathed entirely in saturated magenta light.,,WINDOWSTACK2026_5_0026_windows-02722.png
window-0376,w-483,AWAKE,amber,other,,security,,,A diamond-patterned accordion security gate silhouetted against a warm amber glow.,,WINDOWSTACK2026_5_0027_windows-02721-3.png
window-0377,w-484,AWAKE,black,storefront,,security,sign|signage,,A dimly lit storefront display of pale sculptural objects seen through a folding scissor security gate.,,WINDOWSTACK2026_5_0028_windows-02721-2.png
window-0378,w-485,AWAKE,brown,double-hung,,security,plants,,"A dim, shadowy window behind security bars with a faint orange glow and cluttered kitchen items.",,WINDOWSTACK2026_5_0029_windows-02709.png
window-0379,w-486,AWAKE,amber,double-hung,,pleated shade,plants,,Silhouetted potted plants and security bars frame a warm amber glow behind a partially raised pleated shade.,,WINDOWSTACK2026_5_0030_windows-02709-3.png
window-0380,w-487,AWAKE,amber,double-hung,,sheer curtains,string lights|plants,,A glowing wreath and dense fairy lights shimmer through condensation-misted glass.,,WINDOWSTACK2026_5_0031_windows-02709-2.png
window-0381,w-489,AWAKE,amber,double-hung,,sheer curtains,lamp|plants,,A glowing bare bulb behind sheer curtains silhouettes plant fronds in warm amber light.,,WINDOWSTACK2026_5_0033_windows-02661.png
